type,severity,difficulty,static,dynamic,ERC20
access controls,informational,high,0,0,0
data exposure,informational,low,0,0,0
data validation,low,high,0,0,0
access controls,informational,low,0,0,0
auditing and logging,low,high,0,0,0
numerics,high,low,1,1,0
authentication,high,high,0,0,0
patching,informational,medium,1,1,0
access controls,medium,low,0,1,0
data validation,low,low,0,1,0
undefined behavior,low,low,0,0,0
error reporting,informational,medium,0,0,0
logic,high,high,0,0,0
logic,medium,high,0,0,0
data validation,informational,medium,0,0,0
authentication,high,low,0,0,0
data validation,high,high,0,0,0
logic,low,high,0,0,0
data exposure,high,high,0,0,0
race condition,high,high,1,0,1
data validation,high,medium,1,1,0
undefined behavior,low,low,0,0,0
numerics,medium,medium,1,0,0
configuration,low,low,0,0,0
documentation,low,low,0,0,0
race condition,high,high,0,0,0
data validation,medium,high,0,0,0
configuration,high,high,0,0,0
numerics,medium,low,0,0,0
numerics,high,low,1,0,0
numerics,medium,low,1,0,0
data validation,medium,high,0,0,0
data validation,informational,low,0,0,0
patching,medium,low,0,0,0
timing,high,low,0,0,0
race condition,medium,high,1,0,1
patching,high,low,0,0,0
data validation,medium,low,0,0,0
denial of service,medium,low,0,1,0
denial of service,medium,low,0,0,0
access controls,informational,low,0,0,0
denial of service,medium,low,0,0,0
undefined behavior,undetermined,low,0,0,0
data validation,medium,medium,0,0,0
auditing and logging,undetermined,high,0,0,0
data validation,medium,low,0,0,0
data validation,medium,undetermined,1,1,0
data validation,high,high,0,0,0
data validation,high,low,1,0,0
data validation,high,low,1,0,0
denial of service,informational,high,0,0,0
race condition,medium,high,1,0,1
race condition,informational,high,1,0,1
access controls,high,high,0,1,0
data validation,low,medium,0,0,1
denial of service,high,high,0,1,0
numerics,low,high,1,1,0
data validation,high,high,1,1,0
numerics,low,high,1,1,0
auditing and logging,informational,low,0,0,0
timing,low,high,0,1,0
data validation,high,high,0,0,0
numerics,low,high,0,0,0
data validation,low,low,1,0,0
undefined behavior,low,low,1,0,0
data validation,medium,low,0,0,0
error reporting,medium,low,1,1,0
patching,low,low,0,0,0
access controls,medium,low,0,0,0
undefined behavior,informational,low,0,0,0
